MAIN_ID ID_NAME ID_HD ID_NGC RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"HD 225213" "" "HD 225213" "" "00 05 24.4282" "-37 21 26.501" "Flare Star" M2V 230.420 0.0000850 8.562000274658203
"BD+44  4548" "" "" "" "00 05 10.8887" "+45 47 11.647" "High proper-motion Star" M2Ve 88.880 -0.0000010 9.970000267028809
"HD     55" "" "HD 55" "" "00 05 17.6886" "-67 49 57.322" "High proper-motion Star" K4.5V 61.140 0.0001370 8.484999656677246
"HD     38A" "" "HD 38A" "" "00 05 41.0129" "+45 48 43.491" "Spectroscopic binary" K6V 85.100 0.0000120 8.826000213623047
"HD     38B" "" "HD 38B" "" "00 05 40.342" "+45 48 38.73" "High proper-motion Star" M0.5V "" 0.0000060 8.994999885559082
"HD    123" "" "HD 123" "" "00 06 15.8141" "+58 26 12.220" "Spectroscopic binary" G3V+G8V 46.560 -0.0000460 5.929999828338623
"HD    123A" "" "HD 123A" "" "00 06 15.839" "+58 26 12.35" "High proper-motion Star" G3V "" -0.0000390 6.420000076293945
"HD    123B" "" "HD 123B" "" "00 06 15.699" "+58 26 13.30" "High proper-motion Star" G8V "" -0.0000530 7.320000171661377
"HD    142A" "" "HD 142A" "" "00 06 19.175" "-49 04 30.67" "High proper-motion Star" F7V "" 0.0000090 5.760000228881836
"HD    142B" "" "HD 142B" "" "00 06 19.195" "-49 04 34.81" "High proper-motion Star" K5 "" "" 11.5
"HD    166" "" "HD 166" "" "00 06 36.7842" "+29 01 17.412" "Variable of BY Dra type" K0V 72.630 -0.0000220 6.130000114440918
"HD    400" "" "HD 400" "" "00 08 40.9383" "+36 37 37.647" "High proper-motion Star" F8IV 30.820 -0.0000500 6.202000141143799
"CD-27    16" "" "" "" "00 09 04.3609" "-27 07 19.682" "High proper-motion Star" M0V 42.650 -0.0000900 11.670000076293945
"* bet Cas" "NAME Caph" "HD 432" "" "00 09 10.6851" "+59 08 59.212" "Variable Star of delta Sct type" F2III 59.580 0.0000140 2.2699999809265137
"HD    469" "" "HD 469" "" "00 09 02.3931" "-54 00 06.971" "Double or multiple star" G8III+A/F 7.790 -0.0000030 6.329999923706055
"HD    469" "" "HD 469" "" "00 09 02.3931" "-54 00 06.971" "Double or multiple star" G8III+A/F 7.790 -0.0000030 6.329999923706055
"HD    469" "" "HD 469" "" "00 09 02.3931" "-54 00 06.971" "Double or multiple star" G8III+A/F 7.790 -0.0000030 6.329999923706055
"* eps Phe" "" "HD 496" "" "00 09 24.6415" "-45 44 50.731" "High proper-motion Star" K0III 22.620 -0.0000310 3.869999885559082
"*   6 Cet" "" "HD 693" "" "00 11 15.8576" "-15 28 04.725" "High proper-motion Star" F8VFe-0.8CH-0.5 53.340 0.0000490 4.889999866485596
"HD    741" "" "HD 741" "" "00 11 33.0839" "-58 54 35.428" "High proper-motion Star" G3V 16.180 -0.0000160 8.359999656677246
"GJ    11" "" "" "" "00 13 15.8345" "+69 19 36.769" "Double or multiple star" M3 49.910 0.0000450 12.300000190734863
"GJ    11 A" "" "" "" "00 13 15.823" "+69 19 36.77" "High proper-motion Star" M3.5Ve "" "" 13.3100004196167
"GJ    11 B" "" "" "" "00 13 15.918" "+69 19 37.49" "High proper-motion Star" M3.0Ve "" "" 13.359999656677246
"G  32-5" "" "" "" "00 15 49.20" "+13 33 21.9" "High proper-motion Star" M4V 99.800 0.0001670 12.600000381469727
"HD   1273" "" "HD 1273" "" "00 16 53.8942" "-52 39 04.135" "Spectroscopic binary" G5VFe-1.2CH-0.9 44.250 -0.0000390 6.8520002365112305
"BD+40    45" "" "" "" "00 17 06.3741" "+40 56 53.870" "High proper-motion Star" M0.5V 68.090 0.0000100 9.0
"HD   1320" "" "HD 1320" "" "00 17 16.5269" "-43 51 09.835" "High proper-motion Star" G2V 27.800 0.0000380 7.980000019073486
"V* GX And" "" "HD 1326" "" "00 18 22.8865" "+44 01 22.647" "Flare Star" M2V 280.740 0.0000390 8.130000114440918
"V* GQ And" "" "HD 1326B" "" "00 18 25.498" "+44 01 37.64" "Flare Star" M3.5Ve 279.300 0.0000370 11.039999961853027
"GSC 02794-01389" "" "" "" "00 18 00.0967" "+44 00 29.295" Star M5V 3.570 "" 11.710000038146973
"GJ    16" "" "" "" "00 18 16.5896" "+10 12 10.035" Star M1V 61.210 -0.0000500 10.86400032043457
"HD   1461" "" "HD 1461" "" "00 18 41.8672" "-08 03 10.802" "High proper-motion Star" G3VFe0.5 43.020 -0.0000340 6.460000038146973
"* zet Tuc" "" "HD 1581" "" "00 20 04.2599" "-64 52 29.254" "High proper-motion Star" F9.5V 116.460 0.0000290 4.230000019073486
"CD-46    76" "" "" "" "00 21 19.6196" "-45 44 47.109" "High proper-motion Star" K7.0 57.120 0.0000100 10.394000053405762
"HD   1815" "" "HD 1815" "" "00 22 23.6037" "-27 01 57.266" "High proper-motion Star" K2Vk: 34.630 0.0000030 8.3149995803833
"*   9 Cet" "" "HD 1835" "" "00 22 51.7884" "-12 12 33.971" "Variable of BY Dra type" G2.5V 46.980 -0.0000080 6.389999866485596
"HD   2025" "" "HD 2025" "" "00 24 25.9333" "-27 01 36.380" "High proper-motion Star" K3V 55.900 0.0000110 7.915999889373779
"HD   2025" "" "HD 2025" "" "00 24 25.9333" "-27 01 36.380" "High proper-motion Star" K3V 55.900 0.0000110 7.915999889373779
"* bet Hyi" "" "HD 2151" "" "00 25 45.0703" "-77 15 15.286" "High proper-motion Star" G0V 134.070 0.0000770 2.7899999618530273
"* kap Phe" "" "HD 2262" "" "00 26 12.2018" "-43 40 47.392" "High proper-motion Star" A5IVn 42.000 0.0000380 3.940000057220459
"GJ    21" "" "" "" "00 26 52.7023" "+70 08 32.717" "High proper-motion Star" M1.0Ve 61.970 -0.0000850 10.54699993133545
"BD+66    34A" "" "" "" "00 32 29.4337" "+67 14 08.410" "High proper-motion Star" M2V "" "" 10.32699966430664
"BD+66    34B" "" "" "" "00 32 29.80" "+67 14 04.4" "High proper-motion Star" M3V "" "" 12.1899995803833
"BD+66    34A" "" "" "" "00 32 29.4337" "+67 14 08.410" "High proper-motion Star" M2V "" "" 10.32699966430664
"Wolf    4" "" "" "" "00 33 05.5546" "+42 00 05.320" "High proper-motion Star" M0V 29.470 0.0000100 10.911999702453613
"HD   3158" "" "HD 3158" "" "00 34 27.8319" "-52 22 23.127" "High proper-motion Star" F6V 39.240 0.0001200 5.570000171661377
"*  13 Cet" "" "HD 3196" "" "00 35 14.8796" "-03 35 34.236" "Variable of RS CVn type" F7V+G4V 47.050 0.0000350 5.201000213623047
"HD   3405" "" "HD 3405" "" "00 36 37.9765" "-49 07 56.371" "Spectroscopic binary" G3V 22.530 -0.0000060 6.78000020980835
"HD   3359" "" "HD 3359" "" "00 36 04.4092" "-49 07 41.282" "High proper-motion Star" G8V 22.610 -0.0000150 8.369999885559082
"GJ    24 C" "" "" "" "" "" Star G3V "" "" ""
"HD   3443" "" "HD 3443" "" "00 37 20.7196" "-24 46 02.184" "Spectroscopic binary" K1V+G 64.930 0.0000620 5.570000171661377
"CD-25   225A" "" "" "" "00 37 20.730" "-24 46 02.43" "High proper-motion Star" "" "" "" 6.599999904632568
"CD-25   225B" "" "" "" "00 37 20.682" "-24 46 02.13" "High proper-motion Star" "" "" "" 6.199999809265137
"GJ    25 C" "" "" "" "" "" Star G5V "" "" ""
"Wolf 1056" "" "" "" "00 38 59.043" "+30 36 58.47" "High proper-motion Star" M2.5V 80.100 0.0000290 11.239999771118164
"*  54 Psc" "" "HD 3651" "" "00 39 21.8058" "+21 15 01.708" "High proper-motion Star" K0.5V 90.420 -0.0001110 5.880000114440918
"CD-44   170" "" "" "" "00 39 58.8238" "-44 15 11.581" "High proper-motion Star" M0.5 42.340 0.0000410 11.401000022888184
"HD   3795" "" "HD 3795" "" "00 40 32.8167" "-23 48 17.526" "High proper-motion Star" K0VFe-1.5CH-1.3 34.620 -0.0001530 6.139999866485596
"HD   3765" "" "HD 3765" "" "00 40 49.2690" "+40 11 13.830" "High proper-motion Star" K2V 57.710 -0.0002110 7.360000133514404
"HD   3823" "" "HD 3823" "" "00 40 25.6696" "-59 27 16.573" "High proper-motion Star" G0VFe-0.9CH-0.4 40.070 0.0000120 5.880000114440918
"V* FF And" "" "" "" "00 42 48.2497" "+35 32 55.654" "Variable of BY Dra type" M1Ve+M1Ve 46.400 -0.0000020 10.428000450134277
"V* FF And" "" "" "" "00 42 48.2497" "+35 32 55.654" "Variable of BY Dra type" M1Ve+M1Ve 46.400 -0.0000020 10.428000450134277
"GJ    29.1 B" "" "" "" "00 42 47.289" "+35 32 56.87" Star "" "" "" ""
"BD+33    99" "" "" "" "00 43 32.8582" "+33 50 40.417" "High proper-motion Star" K5-V 48.430 -0.0001210 9.057999610900879
"* bet Cet" "NAME Diphda" "HD 4128" "" "00 43 35.3709" "-17 59 11.782" "High proper-motion Star" G9.5IIICH-1 33.860 0.0000440 2.009999990463257
"* eta Phe" "" "HD 4150" "" "00 43 21.2384" "-57 27 47.007" Star A0IV 13.240 0.0000260 4.361000061035156
"GJ    31.1 B" "" "" "" "00 43 19.720" "-57 28 02.91" Star "" "" "" 11.5
"BD-19   111" "" "" "" "00 44 37.1500" "-18 56 48.202" "High proper-motion Star" K7V 31.810 0.0000900 10.722000122070312
"BD-19   111" "" "" "" "00 44 37.1500" "-18 56 48.202" "High proper-motion Star" K7V 31.810 0.0000900 10.722000122070312
"LP  766-10" "" "" "" "00 44 34.97" "-18 57 06.1" "Flare Star" M4.5 "" "" 15.899999618530273
"HD   4247" "" "HD 4247" "" "00 44 44.3955" "-22 00 22.088" "High proper-motion Star" F3VFe-1 37.390 0.0000390 5.21999979019165
"HD   4256" "" "HD 4256" "" "00 45 04.8939" "+01 47 07.878" "High proper-motion Star" K3V 44.620 0.0000320 8.00100040435791
"HD   4308" "" "HD 4308" "" "00 44 39.2672" "-65 38 58.277" "High proper-motion Star" G6VFe-0.9 45.400 0.0003180 6.552000045776367
"HD   4378A" "" "HD 4378A" "" "00 45 48.2871" "-41 54 33.096" "High proper-motion Star" K5Ve 62.410 -0.0000880 8.369999885559082
"HD   4378B" "" "HD 4378B" "" "00 45 48.720" "-41 54 34.69" "High proper-motion Star" K7Ve "" -0.0000750 8.928000450134277
"HD   4628" "" "HD 4628" "" "00 48 22.9766" "+05 16 50.212" "High proper-motion Star" K2.5V 134.140 -0.0000340 5.739999771118164
"* eta Cas A" "" "HD 4614A" "" "00 49 05.145" "+57 48 59.40" Star F9V "" "" 3.5199999809265137
"* eta Cas B" "" "HD 4614B" "" "00 49 05.167" "+57 49 03.77" "High proper-motion Star" K7Ve "" 0.0000370 7.510000228881836
"GSC 03663-01924" "" "" "" "00 48 38.530" "+57 48 13.58" Star M0V "" "" 12.260000228881836
"*  64 Psc" "" "HD 4676" "" "00 48 58.7080" "+16 56 26.313" "Spectroscopic binary" F8V 42.640 0.0000130 5.070000171661377
"Wolf   28" "NAME vMA 2" "" "" "00 49 09.9017" "+05 23 19.011" "White Dwarf" DZ7.5 234.600 0.0008780 12.37399959564209
"HD   4747" "" "HD 4747" "" "00 49 26.7645" "-23 12 44.889" "Spectroscopic binary" G8/K0V 50.370 0.0000300 7.15500020980835
"* phi02 Cet" "" "HD 4813" "" "00 50 07.5896" "-10 38 39.583" "High proper-motion Star" F7V 63.480 0.0000270 5.190000057220459
"LHS   126" "" "" "" "00 51 29.8364" "+58 18 07.302" "High proper-motion Star" M0.0Ve 52.840 -0.0000460 10.640000343322754
"HD   4913" "" "HD 4913" "" "00 51 21.7540" "+18 44 21.293" "High proper-motion Star" K6V 45.120 0.0000200 9.196999549865723
"HD   4967" "" "HD 4967" "" "00 51 34.0200" "-22 54 36.241" "High proper-motion Star" K5V 64.900 0.0000530 8.954000473022461
"HD   4967B" "" "HD 4967B" "" "00 51 35.16" "-22 54 30.8" "High proper-motion Star" M3 "" "" 17.0
"HD   5015" "" "HD 5015" "" "00 53 04.1960" "+61 07 26.294" "Spectroscopic binary" F9V 53.350 0.0000690 4.800000190734863
"HD   5133" "" "HD 5133" "" "00 53 01.1349" "-30 21 24.890" "High proper-motion Star" K2.5Vk: 71.710 -0.0000430 7.171000003814697
"HD   5133" "" "HD 5133" "" "00 53 01.1349" "-30 21 24.890" "High proper-motion Star" K2.5Vk: 71.710 -0.0000430 7.171000003814697
"HD   5294" "" "HD 5294" "" "00 54 59.2700" "+24 06 00.975" "High proper-motion Star" G5 33.550 -0.0000280 7.380000114440918
"V* BV Phe" "" "" "" "00 55 25.4051" "-51 49 57.471" "Variable of BY Dra type" M3 27.990 0.0000480 14.416999816894531
"BD-02   129" "" "" "" "00 57 20.2208" "-01 48 57.616" "High proper-motion Star" K1 22.310 -0.0001590 9.460000038146973
"HD   5633" "" "HD 5633" "" "00 57 19.7462" "-62 14 44.145" "High proper-motion Star" K6.5Vk: 48.350 0.0000370 9.482000350952148
"CD-28   302" "" "" "" "00 58 27.9342" "-27 51 25.304" "High proper-motion Star" M3V 80.950 0.0000480 11.800999641418457
"CCDM J01003+1812AB" "" "HD 5857" "" "01 00 15.7295" "+18 11 56.486" "Double or multiple star" G5 7.780 -0.0001220 8.920000076293945
"Wolf   44" "" "" "" "01 01 20.066" "+61 21 56.07" "High proper-motion Star" M2.0Ve 90.900 0.0000400 10.869999885559082
"BD+70    68b" "" "" "" "01 02 32.2352" "+71 40 47.337" "Flare Star" M3.0Ve 121.360 0.0000050 10.0
"BD+61   195" "" "" "" "01 02 38.8680" "+62 20 42.175" "High proper-motion Star" M1.5V 101.530 -0.0000200 9.5600004196167
"BD-10   216" "" "" "" "01 01 57.0395" "-09 53 08.025" "High proper-motion Star" K4/5V 28.690 -0.0000010 10.482999801635742
"HD   6027" "" "HD 6027" "" "01 02 37.1518" "+59 17 12.338" Star K2V 3.800 -0.0000900 7.800000190734863
"Wolf   47" "" "" "" "01 03 19.72" "+62 21 55.7" "Flare Star" M5V 95.500 -0.0000130 13.65999984741211
"BD+63   137" "" "" "" "01 07 08.1982" "+63 56 28.778" "High proper-motion Star" K7V 66.550 0.0000070 8.979999542236328
"HD   6673" "" "HD 6673" "" "01 06 47.4297" "-50 59 21.999" "High proper-motion Star" K2.5V 33.950 0.0000230 8.84000015258789
"Ross  322" "" "" "" "01 07 47.71" "+34 12 29.9" "High proper-motion Star" M2.5 39.000 "" 13.350000381469727
"* mu. Cas" "" "HD 6582" "" "01 08 16.3947" "+54 55 13.226" "Spectroscopic binary" G5Vb 132.380 -0.0003270 5.170000076293945
"* mu. Cas" "" "HD 6582" "" "01 08 16.3947" "+54 55 13.226" "Spectroscopic binary" G5Vb 132.380 -0.0003270 5.170000076293945
"* mu. Cas" "" "HD 6582" "" "01 08 16.3947" "+54 55 13.226" "Spectroscopic binary" G5Vb 132.380 -0.0003270 5.170000076293945
"HD   6660A" "" "HD 6660A" "" "01 07 37.8744" "+22 57 17.926" "High proper-motion Star" K4V 49.000 "" 9.149999618530273
"HD   6660B" "" "HD 6660B" "" "01 07 38.517" "+22 57 21.85" "High proper-motion Star" M3.5Ve "" 0.0000530 13.600000381469727
"BD+16   120" "" "" "" "01 08 40.3591" "+17 14 33.363" "High proper-motion Star" K7V 34.670 -0.0001200 10.519000053405762
"* bet And" "NAME MIRACH" "HD 6860" "" "01 09 43.9238" "+35 37 14.007" "High proper-motion Star" M0+IIIa 16.520 0.0000000 2.049999952316284
"*  44 And" "" "HD 6920" "" "01 10 18.7410" "+42 04 53.306" "High proper-motion Star" F8V 19.130 -0.0000470 5.664999961853027
"CD-68    47" "" "" "" "01 10 22.9027" "-67 26 41.852" "Double or multiple star" M2.5V 122.040 0.0000870 9.824000358581543
"V* YZ Cet" "" "" "" "01 12 30.6391" "-16 59 56.335" "Flare Star" M4.0Ve 271.010 0.0000940 12.074000358581543
"*  37 Cet" "" "HD 7439" "" "01 14 24.0404" "-07 55 22.171" "Double or multiple star" F5V 42.760 0.0000720 5.130000114440918
"HD   7438" "" "HD 7438" "" "01 14 22.4327" "-07 54 39.252" "High proper-motion Star" K1(V) 41.760 0.0000530 7.869999885559082
"HD   7621" "" "HD 7621" "" "01 14 40.4574" "-64 45 51.114" "High proper-motion Star" K0IV/V 17.450 0.0001870 9.039999961853027
"* nu. Phe" "" "HD 7570" "" "01 15 11.1215" "-45 31 53.995" "High proper-motion Star" F9VFe+0.4 66.160 0.0000420 4.960000038146973
