MAIN_ID ID_NAME IDS ID_NGC ID_M ID_HD RA DEC OTYPE_V SP_TYPE PLX_VALUE Z_VALUE FLUX_V
"NGC     1" "" "NGC     1|ALFALFA 2-17|IRAS 00047+2725|KPG   2a|LEDA     564|2MASX J00071582+2742291|MCG+04-01-025|PSCz Q00047+2725|SDSS J000715.86+274229.0|UGC    57|UZC J000715.9+274229|Z 477-54|Z 478-26|Z 0004.6+2726|[BTW2003] J0007+2740|[M98c] 000441.3+272550" "NGC 1" "" "" "00 07 15.825" "+27 42 29.13" "Galaxy in Pair of Galaxies" "" "" 0.0152450 ""
"NGC     2" "" "NGC     2|ALFALFA 2-18|KPG   2b|LEDA     567|2MASX J00071710+2740421|MCG+04-01-026|SDSS J000717.11+274042.0|UGC    59|UZC J000717.1+274041|Z 477-55|Z 478-27|Z 0004.7+2724|[CHM2007] HDC    1 J000717.10+2740421|[CHM2007] LDC    2 J000717.10+2740421" "NGC 2" "" "" "00 07 17.104" "+27 40 42.13" "Galaxy in Pair of Galaxies" "" "" 0.0250040 ""
"NGC     3" "" "NGC     3|Ark   1|IRAS 00047+0801|IRAS F00046+0801|LEDA     565|2MASX J00071680+0818058|MCG+01-01-037|PSCz Q00047+0801|UGC    58|UZC J000716.8+081806|Z 408-35|Z 0004.7+0802" "NGC 3" "" "" "00 07 16.804" "+08 18 05.84" Galaxy "" "" 0.0130090 ""
"NGC     4" "" "NGC     4|LEDA  212468" "NGC 4" "" "" "00 07 24.4" "+08 22 30" Galaxy "" "" "" ""
"NGC     5" "" "NGC     5|CGPG 0005.2+3505|LEDA     595|2MASX J00074889+3521444|MCG+06-01-013|NPM1G +35.0003|UGC    62|UZC J000748.9+352144|ZW   IV   7|Z 517-17|Z 518-12|Z 0005.2+3505" "NGC 5" "" "" "00 07 48.898" "+35 21 44.46" Galaxy "" "" 0.0167920 ""
"NGC     7" "" "NGC     7|AGC  20097|AM 0005-301|APMBGC 409-066+005|DUGRS 409-001|ESO 409-22|ESO-LV 409-0220|GSC 06418-00253|HIPASS J0008-29|IRAS F00058-3011|LEDA     627|MCG-05-01-037|SGC 000548-3011.6" "NGC 7" "" "" "00 08 20.3" "-29 55 01" Galaxy "" "" 0.0050330 ""
"NGC     8" "" "NGC     8|LEDA     648" "NGC 8" "" "" "00 08 45.3" "+23 50 19" "Double or multiple star" "" "" "" ""
"NGC     9" "" "NGC     9|ADBS J000900+2348|IRAS 00063+2332|IRAS F00063+2332|K73    6|KUG 0006+235|LEDA     652|2MASX J00085471+2349009|MCG+04-01-030|PSCz Q00063+2332|UCM 0006+2332|UGC    78|UZC J000854.7+234903|Z 477-59|Z 478-31|Z 0006.3+2333|[RS2000]   4|[SS98c] 26" "NGC 9" "" "" "00 08 54.713" "+23 49 00.92" "Emission-line galaxy" "" "" 0.0150870 ""
"NGC    10" "" "NGC    10|AGC  20098|AM 0006-340|APMBGC 349-068-049|6dFGS gJ000834.5-335130|ESO 349-32|ESO-LV 349-0320|GSC 06992-00263|IRAS 00060-3408|IRAS F00060-3408|LEDA     634|2MASX J00083453-3351299|MCG-06-01-024|NVSS J000834-335138|PSCz Q00060-3408|SGC 000602-3408.2|[CDB98]   1|[CDB98] VLG 0006-3408" "NGC 10" "" "" "00 08 34.535" "-33 51 29.92" "Emission-line galaxy" "" "" 0.0227390 ""
"NGC    11" "" "NGC    11|IRAS F00061+3710|IRAS 00061+3710|LEDA     642|2MASX J00084249+3726523|MCG+06-01-015|2MFGC 122|UGC    73|UZC J000842.5+372652|Z 517-20|Z 518-15|Z 0006.1+3710" "NGC 11" "" "" "00 08 42.494" "+37 26 52.39" Galaxy "" "" 0.0146700 ""
"NGC    12" "" "NGC    12|IRAS F00061+0419|LEDA     645|2MASX J00084475+0436451|MCG+01-01-040|UGC    74|UZC J000844.8+043645|Z 408-38|Z 0006.2+0420|[HDL96] 408  63|[LHG93] F0006+0420" "NGC 12" "" "" "00 08 44.752" "+04 36 45.12" Galaxy "" "" 0.0130490 ""
